address	amountInJRT
0x30e5fa51dc65d16c83ec2d66b760e07afae7ce39	1159,719021
0x87fc1313880d579039ac48db8b25428ed5f33c4a	1328,761854
0x35c4346f87bf8479be670b99e19120d978a1c19f	1504,57917
0xc8e99dd497ae1fc981c1dd48f49fb804fbfcb99d	1683,838028
0xd50f6325b568a978a0d95106f35e368fac475332	3229,442298
0x7a65dc1e296dc482a6484ea99a77e1a641c75fb3	4371,506069
0xb494096548aa049c066289a083204e923cbf4413	5034,692886
0x41bc7d0687e6cea57fa26da78379dfdc5627c56d	6366,195107
0x6e68fa206cafdbe92550b39088114461e2493446	7860,11774
0x4694b949df0417b1202a092d5d55ecb0993afb24	8378,631507
